title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName
Starbucks,4.4,4167,"BOM Terminal 2, Mumbai International Airport, Immigration Area",Mumbai,Maharashtra,IN,https://stores.starbucks.in/store-pages/starbucks-mumbai-30/,+91 1860 266 0010,Coffee shop,Cafe,Coffee store,Snack bar,Vegetarian cafe and deli,,,,,,https://www.google.com/maps/search/?api=1&query=Starbucks&query_place_id=ChIJCRjCfELI5zsRiAB0Nj7fKB0,Coffee shop
Lucky The Hair Salon,3.9,152,"134, 1st Floor, City Centre Mall, Swami Vivekanand Rd",Mumbai,Maharashtra,IN,,+91 98196 50462,Hairdresser,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Lucky%20The%20Hair%20Salon&query_place_id=ChIJ0ULt_0225zsR6tqbIrika9o,Hairdresser
Saundarya Beauty Salon,4.7,569,"Ground Floor, Shop No. 1, VB Phadake Rd",Mumbai,Maharashtra,IN,https://saundarya-beauty.grexa.site/,+91 97693 11109,Beauty Salon,Aromatherapy service,Esthetics service,Facial spa,Hair extension technician,Skin care clinic,Spa,Wellness Centre,,,https://www.google.com/maps/search/?api=1&query=Saundarya%20Beauty%20Salon&query_place_id=ChIJb2zRQe-45zsRVAgnbDKRea8,Beauty Salon
CAFE KAYNAT,4,4,"Room No 981, Chawl 123",Mumbai,Maharashtra,IN,,+91 77383 25245,Fast food restaurant,Caterer,,,,,,,,,https://www.google.com/maps/search/?api=1&query=CAFE%20KAYNAT&query_place_id=ChIJQ1llete35zsR-Y2XQDPYRYc,Fast food restaurant
Vishal salon unisex,4.4,76,"Malad Shopping Center, no1, opp. metro sales",Mumbai,Maharashtra,IN,https://sites.google.com/view/vishalsalonunisex?usp=sharing,+91 99203 26646,Beauty Salon,Hairdresser,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Vishal%20salon%20unisex&query_place_id=ChIJqeOYO-G25zsRakbrmzcz6G0,Beauty Salon
OM SAI SAGAR VEG RESTAURANT,4.3,551,"SHOP No 10, near VANRAI POLICE STATION, opp. The Hub Mall",Mumbai,Maharashtra,IN,,+91 99304 37519,Vegetarian restaurant,Family restaurant,Indian restaurant,Restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=OM%20SAI%20SAGAR%20VEG%20RESTAURANT&query_place_id=ChIJBVac8A-35zsRcHouz88Whxg,Vegetarian restaurant
Hotel Savera restaurant,3.9,703,5R5M+MHF,Mumbai,Maharashtra,IN,,+91 77100 24313,Mughlai restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Hotel%20Savera%20restaurant&query_place_id=ChIJ__pMjES25zsRidtbx-sdCMQ,Mughlai restaurant
Shreeji Pure Veg Restaurant,3.5,110,"General Arun Kumar Vaidya Marg, opp. Oberoi Mall",Mumbai,Maharashtra,IN,,+91 99202 02681,Vegetarian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Shreeji%20Pure%20Veg%20Restaurant&query_place_id=ChIJWbUJ0qm35zsR3tKLn6CBbi0,Vegetarian restaurant
Regency Restaurant & Bar,4,60,"Hotel Silver Inn, Marol Maroshi Rd, opposite Marol Fire Station Building",Mumbai,Maharashtra,IN,,+91 22 4235 9999,Non vegetarian restaurant,Bar,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Regency%20Restaurant%20%26%20Bar&query_place_id=ChIJzx_a9xTI5zsRD_GXQsqtxSg,Non vegetarian restaurant
NewTohfa Restaurant,4,595,"Shop No. B-5, 90 Feet Road, 3rd Lane",Mumbai,Maharashtra,IN,,+91 76665 82228,Chinese restaurant,Family restaurant,Fast food restaurant,Restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=NewTohfa%20Restaurant&query_place_id=ChIJR0zLyHHI5zsRFOtR04L_kH8,Chinese restaurant
cafe shalimar family restaurant,3.8,950,"Cafe Shalimar, Lal Bahadur Shastri Marg, opposite Dargha, near Damodar Park",Mumbai,Maharashtra,IN,,+91 88288 20202,Mughlai restaurant,Breakfast restaurant,Chinese restaurant,Family restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=cafe%20shalimar%20family%20restaurant&query_place_id=ChIJq6qqqs_H5zsRUYJQuT9K7BU,Mughlai restaurant
la hotel metro restaurants,4.1,7,"LA HOTEL METRO, la hotel metro, opp kurla garden, Lal Bahadur Shastri Marg",Mumbai,Maharashtra,IN,http://www.lahotelmetro.com/,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=la%20hotel%20metro%20restaurants&query_place_id=ChIJ8YRHdwPJ5zsR_p5wx6p2LCk,Restaurant
The Bacckyard Multicuisine Restaurant,3.9,191,"Shop No. 4 & 5, Willows Twin Tower Co-Operative Housing Society, Agrawal Rd",Mumbai,Maharashtra,IN,,+91 80808 02012,Punjabi restaurant,Chinese restaurant,Delivery Chinese restaurant,Family restaurant,North Indian restaurant,Restaurant,,,,,https://www.google.com/maps/search/?api=1&query=The%20Bacckyard%20Multicuisine%20Restaurant&query_place_id=ChIJ2USxtVS45zsRdzH_Cs4EdFw,Punjabi restaurant
Dr Divakar Dhargalkar's Multispeciality Dental Clinic,5,99,"Bldg No;48,Near Gomantak Hotel",Mumbai,Maharashtra,IN,https://www.drdhargalkarsdentalclinic.com/,+91 79776 68790,Dental clinic,Orthodontist,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr%20Divakar%20Dhargalkar's%20Multispeciality%20Dental%20Clinic&query_place_id=ChIJSbMkoiHJ5zsRGoPCXx57I_A,Dental clinic
Atithi family restaurant,4.2,54,"IB Patel Rd, near bank of india, opp. Universal Industrial Estate",Mumbai,Maharashtra,IN,,+91 77381 23233,Seafood restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Atithi%20family%20restaurant&query_place_id=ChIJGYA07rK35zsRkUi4xW53t5Y,Seafood restaurant
Avlon Thai Spa In Malad,3.7,31,"1st Floor, Concord CHS, New Link Rd, near Icchapurti Hanuman Mandir",Mumbai,Maharashtra,IN,https://avlon-thai-spa-in-malad.grexa.site/,+91 98199 28566,Spa,Day spa,Health spa,Massage spa,Massage therapist,Thai massage therapist,Wellness Centre,,,,https://www.google.com/maps/search/?api=1&query=Avlon%20Thai%20Spa%20In%20Malad&query_place_id=ChIJA-DdE5a35zsRnYwlq-pKGTc,Spa
Hotel A-1 Darbar Restaurant,3.9,1536,"Shop 7,8, Oshiwara Bridge, Swami Vivekanand Rd",Mumbai,Maharashtra,IN,,+91 98334 56449,Chinese restaurant,Family restaurant,Mughlai restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Hotel%20A-1%20Darbar%20Restaurant&query_place_id=ChIJmXXjNza25zsRtPdCeYPQQ3k,Chinese restaurant
"Ruchi Veg Restaurant, Goregaon",3.9,844,"Yashodham Business Centre, General Arun Kumar Vaidya Marg",Mumbai,Maharashtra,IN,,+91 80973 37793,Vegetarian restaurant,Fast food restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Ruchi%20Veg%20Restaurant%2C%20Goregaon&query_place_id=ChIJP-3lCqi35zsRPou3_Pa73KI,Vegetarian restaurant
Mumbai Spice Family Restaurant,4.4,93,"Shop no- 18, Rabibai chawl, Quarry Rd, near mangatram petrol pump",Mumbai,Maharashtra,IN,,+91 89763 67131,Chinese restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mumbai%20Spice%20Family%20Restaurant&query_place_id=ChIJ6yPaZ9q55zsR5JcHwHfIoAk,Chinese restaurant
L. S. Raheja School of Architecture,4.2,249,Kherwadi Rd,Mumbai,Maharashtra,IN,https://lsrsa.edu.in/,+91 22 3121 8777,Educational institution,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=L.%20S.%20Raheja%20School%20of%20Architecture&query_place_id=ChIJ8aVFnxjJ5zsRsjWvr7llcKk,Educational institution
Ungli chaat fast food Restaurant,3.9,527,"Shop No. 21, Saki Vihar Rd, opp. Sun Srishti Building",Mumbai,Maharashtra,IN,,+91 22 2857 2671,Fast food restaurant,Banquet hall,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Ungli%20chaat%20fast%20food%20Restaurant&query_place_id=ChIJ25NAVA7I5zsR_aesoCpQxNU,Fast food restaurant
Luxury Spa: Best Body Massage in Andheri East | Spa in Andheri,4.8,24,"Shop No. A1, Ground Floor, opp. Hind Saurashtra Industrial Estate, near Mittal Industrial Estate",Mumbai,Maharashtra,IN,https://www.luxuryspa.net.in/,+91 99873 46117,Spa,Day spa,Foot Massage Parlour,Health spa,Massage spa,Massage therapist,Spa and health club,Sports massage therapist,Thai massage therapist,Wellness Centre,https://www.google.com/maps/search/?api=1&query=Luxury%20Spa%3A%20Best%20Body%20Massage%20in%20Andheri%20East%20%7C%20Spa%20in%20Andheri&query_place_id=ChIJ8RVsPdPJ5zsR0b3y_oockUY,Spa
Bageecha Veg Family Restaurant,3.9,4093,"Station Plaza, B-20/21, Bhandup Station Rd",Mumbai,Maharashtra,IN,,+91 85639 00900,Vegetarian restaurant,Breakfast restaurant,Chinese restaurant,Family restaurant,Fast food restaurant,Punjabi restaurant,,,,,https://www.google.com/maps/search/?api=1&query=Bageecha%20Veg%20Family%20Restaurant&query_place_id=ChIJXwZTrnu45zsRPTMC6zsOBeE,Vegetarian restaurant
Mubarak Restaurant,4.2,126,"near Shivaji Kuthir Mandal, E-13, Lal Bahadur Shastri Marg",Mumbai,Maharashtra,IN,,+91 99678 10397,Indian restaurant,Breakfast restaurant,Fast food restaurant,Non vegetarian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Mubarak%20Restaurant&query_place_id=ChIJreRArvLI5zsRczKFjhCUJ4k,Indian restaurant
"Copper Chimney, North Indian Restaurant in Malad (Infiniti Mall)",4.5,1852,"TF 350 , 3rd floor, Food Court, Infiniti Mall Malad, New Link Rd",Mumbai,Maharashtra,IN,https://www.copperchimney.in/,+91 77100 68368,North Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Copper%20Chimney%2C%20North%20Indian%20Restaurant%20in%20Malad%20(Infiniti%20Mall)&query_place_id=ChIJ6c1dRY635zsRgIwom6JiX64,North Indian restaurant
China Gate Andheri West,4.1,844,"Royal Plaza, 504, New Link Rd, next to Citi Mall",Mumbai,Maharashtra,IN,,+91 22 4263 1000,Chinese restaurant,Indian restaurant,Restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=China%20Gate%20Andheri%20West&query_place_id=ChIJFV1DBSG25zsRAWl0ZG8WKVI,Chinese restaurant
Khalsa Punjab Restaurant & Bar,3.7,132,"Chakala Rd, near cigarette factory",Mumbai,Maharashtra,IN,,+91 22 2832 1571,Punjabi restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Khalsa%20Punjab%20Restaurant%20%26%20Bar&query_place_id=ChIJBWuxA2zJ5zsRf8Uh5VFTORg,Punjabi restaurant
"Shanuzz Academy Andheri, Mumbai",4.9,1406,B wing 114,Mumbai,Maharashtra,IN,https://shanuzz.com/,+91 88280 22801,Training centre,Beauty therapy college,Nail salon,Hairdresser,,,,,,,https://www.google.com/maps/search/?api=1&query=Shanuzz%20Academy%20Andheri%2C%20Mumbai&query_place_id=ChIJJUf2MWOWfoAR11nXvc8fmus,Training centre
Deepak Only Veg Restaurant [Malad],4.1,2477,"Bmc Office, near Liberty Garden, opp. P' North",Mumbai,Maharashtra,IN,,+91 22 2881 5582,Vegetarian restaurant,Chinese restaurant,Continental restaurant,Fast food restaurant,Italian restaurant,Punjabi restaurant,South Indian restaurant,,,,https://www.google.com/maps/search/?api=1&query=Deepak%20Only%20Veg%20Restaurant%20%5BMalad%5D&query_place_id=ChIJfWfVFiq35zsRBtj0eh1clk0,Vegetarian restaurant
HK RESTAURANTS LLP,,,"SURVEY NO F, EPITOME BLDG, 003, 858, 29th Rd",Mumbai,Maharashtra,IN,,+91 85912 12049,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HK%20RESTAURANTS%20LLP&query_place_id=ChIJaQYFXhPJ5zsRDDjNwY6PHgc,Fast food restaurant
Shubh Sagar Restaurant,3.8,2401,"No. 11 & 12, Lal Bahadur Shastri Marg, opp. Asian Paints",Mumbai,Maharashtra,IN,https://shubhsagarbhandup.lokal.in/,+91 86571 38902,Restaurant,Banquet hall,Chinese restaurant,Fast food restaurant,Indian restaurant,South Indian restaurant,Vegetarian restaurant,,,,https://www.google.com/maps/search/?api=1&query=Shubh%20Sagar%20Restaurant&query_place_id=ChIJKd51E2-55zsRZ0Mg0TjXLt0,Restaurant
"Happy Sole - Spa, Foot Reflexology & Deep Tissue Massage",5,121,"3rd Floor, Patel Complex, 302, main rd",Mumbai,Maharashtra,IN,https://happy-sole-spa-foot.grexa.site/,+91 99202 02666,Massage spa,Day spa,Facial spa,Foot Massage Parlour,Health spa,Massage therapist,Medical spa,Reflexologist,,,https://www.google.com/maps/search/?api=1&query=Happy%20Sole%20-%20Spa%2C%20Foot%20Reflexology%20%26%20Deep%20Tissue%20Massage&query_place_id=ChIJvb11QwC35zsRD7gbMcRKfA8,Massage spa
Club Oasis Fitness Centre & Spa,4.4,64,"Grand Hyatt Mumbai Hotel and Residences Bandra Kurla Complex Vicinity, Off, Western Urban Rd",Mumbai,Maharashtra,IN,http://mumbai.grand.hyatt.com/hyatt/pure/spas/index.jsp?_requestid=35803,+91 22 6676 1234,Spa and health club,Day spa,Gym,Massage therapist,Swimming pool,Wellness Centre,Yoga Retreat Centre,,,,https://www.google.com/maps/search/?api=1&query=Club%20Oasis%20Fitness%20Centre%20%26%20Spa&query_place_id=ChIJ3yrXAQLJ5zsRshdrSKMWAg0,Spa and health club
Kosho Restaurant,4,231,"F3, Nahar Shopping Complex",Mumbai,Maharashtra,IN,http://kosho.dotpe.in/,+91 22 2857 8391,Delivery Restaurant,Biryani restaurant,Caterer,Food products supplier,Halal restaurant,Kebab shop,Takeout Restaurant,Pasta shop,Seafood restaurant,Shared-use commercial kitchen,https://www.google.com/maps/search/?api=1&query=Kosho%20Restaurant&query_place_id=ChIJNRQYZnPyWhERFMSPzdzqYGQ,Delivery Restaurant
Satya Makers,4.8,53,"Vikrant industrial Estate, satya makers, 206, Vikrant Industrial estate, govandi deonar road, govandi east, mumbai - 400088 satya makers, 206, Deonar Rd",Mumbai,Maharashtra,IN,https://www.satyamaker.com/,+91 90045 31972,Interior designer,Architectural designer,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Satya%20Makers&query_place_id=ChIJW6y6Kw7G5zsRIt0C9WJiC30,Interior designer
Unicon Family Restaurant,3.7,197,"14, Lohar Chawl, Marol Naka, Andheri - Kurla Rd",Mumbai,Maharashtra,IN,https://uniconfamilyresturant.lokal.in/,+91 99203 33391,Chinese restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Unicon%20Family%20Restaurant&query_place_id=ChIJcTaJgSTJ5zsRLLkEPveHSVs,Chinese restaurant
Rowdy Momos Cafe,4.5,77,"1, Ram Mandir Rd, near Karla Sukla classes, nr. Adani",Mumbai,Maharashtra,IN,,+91 70217 27489,Fast food restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rowdy%20Momos%20Cafe&query_place_id=ChIJxdLiaQDJ5zsRBW0CQ7SpBgo,Fast food restaurant
Dilshad Restaurant,3.8,392,"3VXQ+P3X, 90 Feet Rd",Mumbai,Maharashtra,IN,,+91 98207 65769,Mughlai restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dilshad%20Restaurant&query_place_id=ChIJRbgdZcfJ5zsRdZ9Dhoj251M,Mughlai restaurant
China Valley Restaurant- Powai Hiranandani,4.2,2331,"Plot CTS No. 9/B, Diagonally Opp. Hiranandani Foundation School, Orchard Ave",Mumbai,Maharashtra,IN,,+91 22 2570 1035,Delivery Chinese restaurant,Asian restaurant,Chinese noodle restaurant,Dim sum restaurant,Family restaurant,Hot pot restaurant,,,,,https://www.google.com/maps/search/?api=1&query=China%20Valley%20Restaurant-%20Powai%20Hiranandani&query_place_id=ChIJM20ua-TH5zsR37s-PMAgJHs,Delivery Chinese restaurant
Sarvodaya Pure Veg Restaurant,4,3115,"Shop Number 5, Vidya Villa Number 1, Old Nagardas Rd",Mumbai,Maharashtra,IN,,+91 80973 39679,Punjabi restaurant,Chinese restaurant,Fast food restaurant,Vegetarian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Sarvodaya%20Pure%20Veg%20Restaurant&query_place_id=ChIJsd6xsNTJ5zsRCaIP0Ux_gjo,Punjabi restaurant
Deluxe Family Restaurant,4.8,40,"5W7P+HMC Madani estate, Mulund - Goregaon Link Rd",Mumbai,Maharashtra,IN,,,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Deluxe%20Family%20Restaurant&query_place_id=ChIJa7kyabq55zsRWldS74a0xnI,Restaurant
Bhavani Palace - Authentic Maharashtrian Restaurant,4,393,"Sonal Industrial Estate, K12 Old, New Link Rd, opposite BIKAJI Sweet House",Mumbai,Maharashtra,IN,,+91 70399 96000,Marathi restaurant,Non vegetarian restaurant,Seafood restaurant,Vegetarian restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Bhavani%20Palace%20-%20Authentic%20Maharashtrian%20Restaurant&query_place_id=ChIJvTbE3M635zsRD2Dc-GL1bBU,Marathi restaurant
Manisha Restaurant & Bar,3.8,1486,"Bit No. 4, 90 Feet Rd",Mumbai,Maharashtra,IN,,+91 90048 47644,Bar & grill,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Manisha%20Restaurant%20%26%20Bar&query_place_id=ChIJRbnDM3vI5zsRXAfXZmiVnjM,Bar & grill
Maharaja Restaurant & Bar,4,181,"Karachi wala chawl Opp Cinemax,Andheri E, Kurla Road, Eastern Express Highway",Mumbai,Maharashtra,IN,,+91 98213 77822,Bar,Family restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Maharaja%20Restaurant%20%26%20Bar&query_place_id=ChIJ6wHNOsbJ5zsREqDNlDA8Dxk,Bar
ELEV8-The Ultimate Gaming Cafe,4.7,22,"Shop No. 240, Nehru Rd, nr. HDFC Bank",Mumbai,Maharashtra,IN,https://www.instagram.com/elev8_gg/,+91 79779 14265,Video game store,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=ELEV8-The%20Ultimate%20Gaming%20Cafe&query_place_id=ChIJVxVQ3sbJ5zsRCGnavlKTBlk,Video game store
Jassi Restaurant And Bar,4.1,345,"Vallabh Society, Shop no 19, 90 Feet Rd",Mumbai,Maharashtra,IN,,+91 80806 96505,North Indian restaurant,Bar,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jassi%20Restaurant%20And%20Bar&query_place_id=ChIJkyF26zHG5zsRVtkRX_Bv9YA,North Indian restaurant
7 Leelas Beauty Salon And Spa,1,2,"7, Topiwala Centre, Off, Swami Vivekanand Rd, near Railway Station",Mumbai,Maharashtra,IN,,+91 77382 15679,Beauty Salon,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=7%20Leelas%20Beauty%20Salon%20And%20Spa&query_place_id=ChIJxcGEaVK25zsRuf5CVMWJpV4,Beauty Salon
Alizeh Salon,4.9,285,"Shop No. 3 Building No. B, Sai Vaishali Apartment, 17, Haji Zahoor Qureshi Marg, opp. Sweet Home",Mumbai,Maharashtra,IN,,+91 81691 88510,Hairdresser,Beautician,Beauty Salon,Eyelash salon,Facial spa,Hair removal service,Health and beauty shop,Make-up artist,Nail salon,Wellness Centre,https://www.google.com/maps/search/?api=1&query=Alizeh%20Salon&query_place_id=ChIJcW95C_m35zsRBO0gjeknSlI,Hairdresser
Merakii salon,4.6,206,"Shop No 01, Film City Rd",Mumbai,Maharashtra,IN,,+91 91674 44183,Beauty Salon,Beauty therapy college,Nail salon,,,,,,,,https://www.google.com/maps/search/?api=1&query=Merakii%20salon&query_place_id=ChIJ_YtjXEq35zsR5ZHY4fKAg24,Beauty Salon
Gunjan Aesthetic Center & Academy,5,16,"Shop No. 2, Star Apartment By GHP Group, Main Gate Rd, opp. Indian Institute of Technology Bombay",Mumbai,Maharashtra,IN,,+91 70212 36359,Beauty Salon,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Gunjan%20Aesthetic%20Center%20%26%20Academy&query_place_id=ChIJGcNkFxzH5zsRF-4OQnHeecI,Beauty Salon
Relax & Fit Massage Center,,,shop1 sai nagar,Mumbai,Maharashtra,IN,,+91 73515 60196,Beauty Salon,Aadhaar center,Laser Tag Centre,Massage Supply Shop,Massage therapist,Spa,Thai massage therapist,,,,https://www.google.com/maps/search/?api=1&query=Relax%20%26%20Fit%20Massage%20Center&query_place_id=ChIJyxJvdADJ5zsRlsg4EkE0pcQ,Beauty Salon
Enrich Salon Vile Parle W S V Road,4.5,4090,"Shop No. 2, Ground & First Floor, SHANKAR NIVAS, New, Swami Vivekanand Rd",Mumbai,Maharashtra,IN,https://www.enrichbeauty.com/,+91 88793 93000,Beauty Salon,Facial spa,Nail salon,Hairdresser,,,,,,,https://www.google.com/maps/search/?api=1&query=Enrich%20Salon%20Vile%20Parle%20W%20S%20V%20Road&query_place_id=ChIJRVR9ciHP5zsRqoLX1ib1QGE,Beauty Salon
Sofia Aesthetic Beauty Centre,5,60,"no.26, wellness forever pharmacy, land mark, Suryamukhi building, Shastri Nagar Rd Number 2",Mumbai,Maharashtra,IN,,+91 97026 57512,Beauty Salon,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sofia%20Aesthetic%20Beauty%20Centre&query_place_id=ChIJUyu_bkW25zsRZuwyzpkBOGk,Beauty Salon
MK Aesthetics - Skin Care Clinic in Juhu,5,83,"Flat No.8, First floor Sukh Shanti Building, Above Dhanani jewellers JVPD scheme, Juhu, N S Rd Number 8",Mumbai,Maharashtra,IN,http://www.mkaesthetics.in/,+91 98239 00884,Skin care clinic,Cosmetic surgeon,Dermatologist,Esthetics service,Facial spa,Hair transplantation clinic,Laser hair removal service,Medical spa,Wellness Centre,,https://www.google.com/maps/search/?api=1&query=MK%20Aesthetics%20-%20Skin%20Care%20Clinic%20in%20Juhu&query_place_id=ChIJsSwzVH_J5zsRKp0H_BDBo04,Skin care clinic
The One Family Salon & Spa,5,12,"MULUND, Office No. 405, Katile R. Commissioner, CTS NO. 647 LBS ROAD MULUND",Mumbai,Maharashtra,IN,https://bodymassagesparlours.in/female-to-male-body-massage-mulund.html,,Spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20One%20Family%20Salon%20%26%20Spa&query_place_id=ChIJd8SMOoK55zsR2da48RcPinY,Spa
Heavenly Spa by Westin,4.4,50,"The Westin, Mumbai Garden City, International Business Park",Mumbai,Maharashtra,IN,https://www.marriott.com/hotels/hotel-information/fitness-spa-services/bomwi-the-westin-mumbai-garden-city/,+91 22 6736 1400,Spa,Massage therapist,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Heavenly%20Spa%20by%20Westin&query_place_id=ChIJUbscVKi35zsRnqxafkjV_Y4,Spa
Sahara Restaurant - Swastik,3.7,559,"Shop Number 12, Thakkar Bappa Colony Rd, opp. Swastik Chambers",Mumbai,Maharashtra,IN,http://www.sahara.in/,+91 99300 99662,Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sahara%20Restaurant%20-%20Swastik&query_place_id=ChIJt-7n46TI5zsRRAoJMS4H27E,Indian restaurant
The hair & beauty spot,4.7,82,"Shop no. 1, Bhawani Tower",Mumbai,Maharashtra,IN,https://sites.google.com/view/thehairbeautyspot/,+91 98672 26049,Beauty therapy college,Hair extension technician,Nail salon,Hairdresser,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20hair%20%26%20beauty%20spot&query_place_id=ChIJbWpbJEXJ5zsRP5XNcgABKZY,Beauty therapy college
New Look's Salon Academy And Training Centre,4.9,118,"shop no 4, Raigad chowk, Bus Stop, Unique heights Tower, building number 92 ground floor, Kannamma Nagar 2",Mumbai,Maharashtra,IN,,+91 91379 99304,Beauty Salon,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=New%20Look's%20Salon%20Academy%20And%20Training%20Centre&query_place_id=ChIJj8QNxZ7H5zsRIykywJ_z_uc,Beauty Salon
The Signature Restaurant,4,91,"316, Mastermind 5",Mumbai,Maharashtra,IN,https://thesignaure.petpooja.com/menu,+91 85301 90777,Restaurant,Delivery Chinese restaurant,Indian takeaway,Pizza delivery,Pizza Takeout,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Signature%20Restaurant&query_place_id=ChIJe9CM06y35zsRBMG4r9i_Hfc,Restaurant
Moonlight Wellness Spa – Andheri | Marol | Sakinaka,4.9,12,near Hotel Lalit,Mumbai,Maharashtra,IN,https://moonlightwellnessspa.in/,+91 82087 35919,Spa,Facial spa,Foot Massage Parlour,Massage spa,Massage therapist,Spa and health club,Sports massage therapist,Wellness Centre,,,https://www.google.com/maps/search/?api=1&query=Moonlight%20Wellness%20Spa%20%E2%80%93%20Andheri%20%7C%20Marol%20%7C%20Sakinaka&query_place_id=ChIJ2Ypa-V7J5zsRseuOxXi6pMI,Spa
Reaviva Holistic Health,4.9,176,"Unit 501/502, 81 Crest, A/B, Linking Rd",Mumbai,Maharashtra,IN,https://www.reavivaholistichealth.com/?utm_campaign=gmb,+91 99204 12111,Wellness Centre,Diagnostic centre,Fitness centre,IV therapy service,Laser hair removal service,Massage therapist,Physical Therapy Clinic,Rehabilitation Centre,Sauna,Skin care clinic,https://www.google.com/maps/search/?api=1&query=Reaviva%20Holistic%20Health&query_place_id=ChIJk8AKq7vJ5zsRNfywscPHdTc,Wellness Centre
"NewAge Aesthetics Institute Of Healthcare Education And Advanced Cosmetology, Mumbai",4.8,105,"1st Floor, Unit No.81, Near, Oshiwara Police Station Rd",Mumbai,Maharashtra,IN,http://newagehealthcareinstitute.com/,+91 98673 04013,Beauty therapy college,Beautician,Facial spa,Laser hair removal service,Medical spa,Skin care clinic,Training centre,Vocational school,,,https://www.google.com/maps/search/?api=1&query=NewAge%20Aesthetics%20Institute%20Of%20Healthcare%20Education%20And%20Advanced%20Cosmetology%2C%20Mumbai&query_place_id=ChIJrwgkIDi25zsRBVoE6daIhXk,Beauty therapy college
Infinity unisex salon,5,30,"Shop no 288 second floor, City Centre Mall",Mumbai,Maharashtra,IN,,+91 70212 33578,Beauty Salon,Beautician,Facial spa,Hairdresser,Waxing Hair-Removal Service,,,,,,https://www.google.com/maps/search/?api=1&query=Infinity%20unisex%20salon&query_place_id=ChIJMWUSKyW35zsRzZNLDBmsa1c,Beauty Salon
Buddha Spa,4.9,279,"Shop No 206, 2Nd Floor, Terminal 9 Building",Mumbai,Maharashtra,IN,https://buddhaspavileparle.site/,,Spa,Day spa,Facial spa,Foot Massage Parlour,Health spa,Massage spa,Massage therapist,Spa and health club,Sports massage therapist,Thai massage therapist,https://www.google.com/maps/search/?api=1&query=Buddha%20Spa&query_place_id=ChIJwRenrWfJ5zsRp8k8clFQiIA,Spa
Cafe Italiano,4.9,9,"Raheja Exotica Ocean City, Club House, Malad Marve road",Mumbai,Maharashtra,IN,,,Cafe,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Italiano&query_place_id=ChIJ020N2mW15zsRqrGhi9wQNMw,Cafe
Mani's Cafe,3.4,21,"Shop No. 5, Narottam Shreyas Premises CHS, 17, Nehru Rd",Mumbai,Maharashtra,IN,,+91 97029 18393,South Indian restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mani's%20Cafe&query_place_id=ChIJiRNk95rJ5zsRfy8UgQGf8Bc,South Indian restaurant
